USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
sathwikperla     38696   0.0  0.0 435356416   7456   ??  Ss    3:52AM   0:00.19 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
root             38688   0.0  0.1 435357936   9984   ??  Ss    3:52AM   0:00.63 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Resources/backgroundtaskmanagementd -daemon
sathwikperla     38687   0.0  0.0 435323088   5696   ??  S     3:52AM   0:00.08 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
sathwikperla     38671   0.0  0.1 435364448  15584   ??  S     3:52AM   0:01.78 /usr/libexec/siriknowledged
sathwikperla     38667   0.0  0.0 435357552   5600   ??  S     3:52AM   0:01.07 /usr/libexec/swcd
root             38583   0.0  0.0 435398624   5456   ??  Ss    3:52AM   0:00.29 /usr/libexec/amfid
sathwikperla     38558   0.0  0.1 435374112  15120   ??  S     3:52AM   0:01.33 /usr/libexec/transparencyd
sathwikperla     38544   0.0  0.1 435895808  15280   ??  S     3:52AM   0:00.56 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
sathwikperla     38540   0.0  0.1 435359360  16144   ??  S     3:52AM   0:14.48 /usr/libexec/triald
sathwikperla     38363   0.0  0.0 435356960   6176   ??  S     2:24AM   0:00.12 /System/Library/PrivateFrameworks/CoreRecents.framework/Versions/A/Support/recentsd
sathwikperla     38343   0.0  0.1 435365168  10896   ??  S     1:52AM   0:04.46 /usr/libexec/networkserviceproxy
sathwikperla     38296   0.0  0.1 435357712   8720   ??  S     1:49AM   0:03.89 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
root             38256   0.0  0.0 435357824   3984   ??  Ss    1:45AM   0:00.14 /usr/libexec/sandboxd
sathwikperla     38254   0.0  0.0 435369840   7392   ??  S     1:45AM   0:00.34 /usr/libexec/neagent
sathwikperla     38253   0.0  0.0 435357248   6016   ??  S     1:45AM   0:00.71 /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd
sathwikperla     38251   0.0  0.0 435356512   7152   ??  S     1:45AM   0:00.63 /usr/libexec/pkd
sathwikperla     38244   0.0  0.1 435356288   9504   ??  Ss    1:45AM   0:01.33 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
sathwikperla     38243   0.0  0.1 435612336  18528   ??  S     1:45AM   0:04.39 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
sathwikperla     38242   0.0  0.0 435369328   7216   ??  Ss    1:45AM   0:00.21 /System/Library/PrivateFrameworks/iCloudDriveService.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
sathwikperla     38241   0.0  0.1 435374016  17392   ??  S     1:45AM   0:16.22 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
sathwikperla     38240   0.0  0.1 435359392  12240   ??  S     1:45AM   0:02.11 /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
sathwikperla     38238   0.0  0.1 435340624  18944   ??  Ss    1:45AM   0:00.91 /System/Library/PrivateFrameworks/AppPredictionFoundation.framework/Versions/A/XPCServices/AppPredictionIntentsHelperService.xpc/Contents/MacOS/AppPredictionIntentsHelperService
root             38236   0.0  0.0 435321296   4176   ??  Ss    1:45AM   0:00.24 /usr/libexec/usermanagerd -t 15
sathwikperla     38224   0.0  0.1 435370064   8464   ??  S     1:45AM   0:01.11 /usr/libexec/secinitd
sathwikperla     38223   0.0  0.1 435359904  11648   ??  S     1:45AM   0:01.09 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
sathwikperla     38220   0.0  0.2 435438512  38720   ??  S     1:45AM   1:37.82 /usr/libexec/duetexpertd
sathwikperla     38219   0.0  0.2 435440640  28800   ??  S     1:45AM   0:03.05 /System/Library/PrivateFrameworks/SiriInference.framework/Versions/A/siriinferenced
sathwikperla     38218   0.0  0.1 435475440  13792   ??  S     1:45AM   0:14.00 /System/Library/Frameworks/Contacts.framework/Support/contactsd
sathwikperla     38157   0.0  0.1 435380768  10160   ??  S     1:39AM   0:01.91 /usr/libexec/linkd
root             38152   0.0  0.0 435428384   4112   ??  Ss    1:39AM   0:00.72 /usr/libexec/aned
sathwikperla     38151   0.0  0.1 435405472  15488   ??  S     1:39AM   0:02.37 /usr/libexec/replayd
root             38144   0.0  0.0 435358432   7072   ??  Ss    1:38AM   0:01.71 /usr/libexec/ospredictiond
sathwikperla     38139   0.0  0.1 435378608  18896   ??  S     1:38AM   0:06.30 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
root             38106   0.0  0.0 435322176   2032   ??  Ss    1:36AM   0:00.07 /System/Library/CoreServices/liquiddetectiond.app/liquiddetectiond
root             38049   0.0  0.1 435360144  10528   ??  Ss    1:30AM   0:01.02 /usr/libexec/rtcreportingd
sathwikperla     37989   0.0  0.1 435370704  17888   ??  Ss    1:25AM   0:05.51 /System/Library/PrivateFrameworks/IntelligencePlatformCompute.framework/Versions/A/XPCServices/IntelligencePlatformComputeService.xpc/Contents/MacOS/IntelligencePlatformComputeService
root             37818   0.0  0.0 435321552   1760   ??  Ss    1:12AM   0:06.33 /usr/libexec/sysmond
sathwikperla     37815   0.0  0.0 435356592   6000   ??  S     1:12AM   0:00.33 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
root             37810   0.0  0.1 435386736  17680   ??  Ss    1:11AM   0:05.21 /usr/libexec/coreduetd
sathwikperla     37805   0.0  0.1 435531104  17136   ??  S     1:11AM   0:00.55 /System/Library/PrivateFrameworks/WorkflowKit.framework/XPCServices/ShortcutsViewService.xpc/Contents/MacOS/ShortcutsViewService
sathwikperla     37799   0.0  0.1 435527776  24256   ??  S     1:11AM   0:00.55 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
root             37797   0.0  0.0 435301216   1680   ??  Ss    1:11AM   0:00.05 /usr/libexec/seputil --daemonize-reseed
root             37756   0.0  0.1 435357776   8688   ??  Ss    1:10AM   0:00.20 /System/Library/CoreServices/osanalyticshelper server-init
root             37749   0.0  0.0 435321168   4224   ??  Ss    1:10AM   0:00.42 /System/Library/CoreServices/TimeMachine/backupd-helper -launchd
_fpsd            37737   0.0  0.0 410212528   6800   ??  Ss    1:10AM   0:00.69 /System/Library/PrivateFrameworks/CoreADI.framework/adid
sathwikperla     37736   0.0  0.1 435394256  13216   ??  S     1:10AM   0:01.78 /usr/libexec/searchpartyuseragent
root             37730   0.0  0.0 435356880   3728   ??  Ss    1:10AM   0:00.36 /usr/libexec/securityd_system
sathwikperla     37728   0.0  0.1 435365664  12944   ??  S     1:10AM   0:01.49 /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
sathwikperla     37727   0.0  0.1 435384064  21296   ??  S     1:10AM   0:03.60 /usr/libexec/knowledge-agent
sathwikperla     37725   0.0  0.2 435592080  34304   ??  S     1:10AM   0:14.54 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
root             37696   0.0  0.0 435321696   2544   ??  Ss    1:10AM   0:00.13 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
sathwikperla     37695   0.0  0.1 435388368  15424   ??  S     1:10AM   0:00.65 /usr/libexec/GamePolicyAgent
root             37664   0.0  0.1 435411968  13856   ??  Ss    1:09AM   0:42.93 /usr/libexec/mobileassetd
root             37658   0.0  0.0 435310384   2112   ??  Ss    1:08AM   0:00.06 /usr/libexec/online-auth-agent
root             37307   0.0  0.0 435356848   5808   ??  Ss   12:40AM   0:00.20 /usr/libexec/powerdatad
_locationd       37279   0.0  0.1 435359104  10896   ??  S    12:40AM   0:00.83 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
sathwikperla     37057   0.0  0.1 435378512  19776   ??  S    12:20AM   0:01.68 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
root             36934   0.0  0.0 435357136   8144   ??  Ss   12:11AM   0:00.54 /usr/libexec/PowerUIAgent
sathwikperla     36892   0.0  0.1 435365904  22896   ??  S    12:10AM   0:01.10 /System/Library/PrivateFrameworks/HearingCore.framework/heard
sathwikperla     36643   0.0  0.8 1949426752 139456   ??  S    11:57PM   0:36.90 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=9918 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=374774741450 --shared-files --metrics-shmem-handle=1752395122,r,3518465552736322462,12586871459054384252,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190718279892929876 --seatbelt-client=39
sathwikperla     36630   0.0  0.0 435321568   3904   ??  S    11:56PM   0:15.24 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
root             36432   0.0  0.1 435358272   9968   ??  Ss   11:39PM   0:05.50 /usr/libexec/audioanalyticsd
root             35997   0.0  0.1 435370320   9648   ??  Ss   11:10PM   0:04.15 /usr/libexec/wifip2pd
sathwikperla     35966   0.0  0.1 435362768   9472   ??  S    11:09PM   0:01.53 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
root             35965   0.0  0.0 435356384   7568   ??  Ss   11:09PM   0:03.45 /usr/libexec/nehelper
sathwikperla     35871   0.0  0.8 1949462496 137408   ??  S    11:05PM   0:21.75 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=9885 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=371646496914 --shared-files --metrics-shmem-handle=1752395122,r,15091443549584672058,4899997111761054392,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190718248970548859 --seatbelt-client=358
sathwikperla     35688   0.0  1.4 1951408240 230864   ??  S    10:55PM   1:45.14 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=9849 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=371028280214 --shared-files --metrics-shmem-handle=1752395122,r,7560026103747209254,16003462684374122727,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190718215237042295 --seatbelt-client=169
sathwikperla     35531   0.0  0.3 1890434784  47456   ??  S    10:40PM   0:02.98 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper (Plugin).app/Contents/MacOS/Antigravity IDE Helper (Plugin) /Applications/Antigravity IDE.app/Contents/Resources/app/extensions/markdown-language-features/dist/serverWorkerMain --node-ipc --clientProcessId=35226
sathwikperla     35338   0.0  0.1 436321152   9024   ??  S    10:28PM   0:00.53 chrome-devtools-mcp    
sathwikperla     35318   0.0  0.0 436256336   4384   ??  S    10:28PM   0:00.26 /Users/sathwikperla/Library/Caches/ms-playwright-go/1.57.0/node /Users/sathwikperla/Library/Caches/ms-playwright-go/1.57.0/package/cli.js run-driver
sathwikperla     35313   0.0  0.1 436288864   9264   ??  S    10:28PM   0:00.61 npm exec chrome-devtools-mcp@latest --autoConnect --no-usage-statistics --no-performance-crux      
sathwikperla     35242   0.0  0.0 435308512   1104 s013  Ss+  10:27PM   0:00.04 /bin/zsh -il
sathwikperla     35243   0.0  0.3 437121312  43680   ??  S    10:27PM   0:33.32 /Applications/Antigravity IDE.app/Contents/Resources/app/extensions/antigravity/bin/language_server_macos_arm --enable_lsp --csrf_token 594cc881-f489-4371-bd01-fe06b2331c80 --extension_server_port 59119 --extension_server_csrf_token 29de88ad-35e6-43b5-8611-9b86a38846b1 --workspace_id file_Users_sathwikperla_Desktop_Devops_Assignment --cloud_code_endpoint https://daily-cloudcode-pa.googleapis.com --subclient_type ide --app_data_dir antigravity-ide --parent_pipe_path /var/folders/83/nbcf33nn1m9bt032ym271q4c0000gn/T/server_747e4ab0302b1cf6
sathwikperla     35225   0.0  0.3 1892242048  49296   ??  S    10:27PM   0:07.59 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper.app/Contents/MacOS/Antigravity IDE Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/sathwikperla/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,8775314317663338400,4653025010671511419,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190709025667629152
sathwikperla     34719   0.0  0.7 1949236784 117456   ??  S    10:10PM   0:12.60 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=9797 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=368339823998 --shared-files --metrics-shmem-handle=1752395122,r,16502903166173247302,7879997764315690352,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190718166510866147 --seatbelt-client=336
sathwikperla     34702   0.0  0.1 435358784   9808   ??  S    10:10PM   0:10.26 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
_softwareupdate  34681   0.0  0.1 439828512  12496   ??  Ss   10:10PM   0:05.30 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
sathwikperla     34677   0.0  0.2 435531904  29776   ??  S    10:10PM   0:00.63 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
_biome           34673   0.0  0.0 435357072   8000   ??  Ss   10:10PM   0:01.43 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
sathwikperla     34660   0.0  1.1 1949305472 179680   ??  S    10:09PM   0:46.80 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=9794 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=368281944686 --shared-files --metrics-shmem-handle=1752395122,r,8347610073343347680,14886069510894615698,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190718163699740600 --seatbelt-client=39
sathwikperla     33007   0.0  0.3 486099408  45168   ??  S     5:30PM   0:01.65 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Alerts).app/Contents/MacOS/Google Chrome Helper (Alerts) --type=utility --utility-sub-type=mac_notifications.mojom.MacNotificationProvider --lang=en-GB --service-sandbox-type=none --message-loop-type-ui --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --shared-files --metrics-shmem-handle=1752395122,r,11767346095129039958,16718117270811061175,524288 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190718100917936717
sathwikperla     32550   0.0  0.7 1949238240 113200   ??  S    Thu03PM   0:17.08 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=9719 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=365481401896 --shared-files --metrics-shmem-handle=1752395122,r,18085365823397895378,12639527472619829464,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190718093421601925 --seatbelt-client=39
sathwikperla     30011   0.0  0.3 1949214240  54544   ??  S    Thu03AM   0:00.97 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=9705 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=364429895179 --shared-files --metrics-shmem-handle=1752395122,r,3348209288671848033,1041763201158188557,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190718080303016039 --seatbelt-client=376
sathwikperla     26127   0.0  0.4 1949215088  60592   ??  S    Wed06PM   0:03.34 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=9575 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=357093800234 --shared-files --metrics-shmem-handle=1752395122,r,8072328909805541656,17894494449439512869,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190717958487575669 --seatbelt-client=375
sathwikperla     26110   0.0  1.1 1957176624 181968   ??  S    Wed06PM   1:58.98 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=9569 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=357089702913 --shared-files --metrics-shmem-handle=1752395122,r,9087659013197644906,814266651376233114,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190717952865324575 --seatbelt-client=259
sathwikperla     26014   0.0  0.7 1949510656 110720   ??  S    Wed06PM   1:20.33 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=9559 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=356835886569 --shared-files --metrics-shmem-handle=1752395122,r,215173130976170262,8405850529556329458,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190717943494906085 --seatbelt-client=94
sathwikperla     25679   0.0  0.1 435371984  22720   ??  S    Wed05PM   0:12.17 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
sathwikperla     25444   0.0  0.4 1949214352  73808   ??  S    Wed05PM   0:02.81 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=9548 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=355752350052 --shared-files --metrics-shmem-handle=1752395122,r,848475530974798991,1215359489293000862,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190717933187445746 --seatbelt-client=258
sathwikperla     24559   0.0  0.1 435580448  11552   ??  S    Wed05PM   0:13.16 /usr/libexec/spotlightknowledged.updater -u
sathwikperla     22600   0.0  1.2 1949446928 202416   ??  S    Wed03PM   6:57.60 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=9517 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=348018486389 --shared-files --metrics-shmem-handle=1752395122,r,4254523322494583875,4102908709604443467,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190717904139148427 --seatbelt-client=48
sathwikperla     16627   0.0  0.6 1949242256 104176   ??  S    Tue10PM   0:09.70 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=9333 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=337918877456 --shared-files --metrics-shmem-handle=1752395122,r,10322752738524839418,9854200949496312343,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190717731723448211 --seatbelt-client=150
sathwikperla     14001   0.0  0.1 435363328   9088   ??  S    Tue06PM   0:08.71 /usr/libexec/milod
sathwikperla     11477   0.0  0.1 435458848  24784   ??  S    Tue04PM   0:14.15 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
